대여일자,대여시간,대여소번호,대여소명,이용건수,월,일,요일,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),요일_0,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6
2022-01-04,23,502,502. 뚝섬유원지역 1번출구 앞,3,1,4,1,108,서울,2022-01-04 23:00:00,-5.1,0.0,1.5,42,0,1,0,0,0,0,0
2022-01-05,4,502,502. 뚝섬유원지역 1번출구 앞,1,1,5,2,108,서울,2022-01-05 04:00:00,-7.2,0.0,1.9,52,0,0,1,0,0,0,0
2022-01-05,6,502,502. 뚝섬유원지역 1번출구 앞,1,1,5,2,108,서울,2022-01-05 06:00:00,-7.6,0.0,2.4,55,0,0,1,0,0,0,0
2022-01-05,7,502,502. 뚝섬유원지역 1번출구 앞,3,1,5,2,108,서울,2022-01-05 07:00:00,-7.7,0.0,2.3,57,0,0,1,0,0,0,0
2022-01-05,8,502,502. 뚝섬유원지역 1번출구 앞,9,1,5,2,108,서울,2022-01-05 08:00:00,-7.5,0.0,2.6,58,0,0,1,0,0,0,0
2022-01-05,9,502,502. 뚝섬유원지역 1번출구 앞,10,1,5,2,108,서울,2022-01-05 09:00:00,-6.4,0.0,0.9,56,0,0,1,0,0,0,0
2022-01-05,10,502,502. 뚝섬유원지역 1번출구 앞,2,1,5,2,108,서울,2022-01-05 10:00:00,-4.4,0.0,1.3,50,0,0,1,0,0,0,0
2022-01-05,11,502,502. 뚝섬유원지역 1번출구 앞,3,1,5,2,108,서울,2022-01-05 11:00:00,-2.4,0.0,1.5,46,0,0,1,0,0,0,0
2022-01-05,12,502,502. 뚝섬유원지역 1번출구 앞,2,1,5,2,108,서울,2022-01-05 12:00:00,-0.6,0.0,2.3,41,0,0,1,0,0,0,0
2022-01-05,13,502,502. 뚝섬유원지역 1번출구 앞,3,1,5,2,108,서울,2022-01-05 13:00:00,0.5,0.0,2.0,37,0,0,1,0,0,0,0
2022-01-05,14,502,502. 뚝섬유원지역 1번출구 앞,7,1,5,2,108,서울,2022-01-05 14:00:00,1.3,0.0,2.3,35,0,0,1,0,0,0,0
2022-01-05,15,502,502. 뚝섬유원지역 1번출구 앞,5,1,5,2,108,서울,2022-01-05 15:00:00,1.7,0.0,1.5,36,0,0,1,0,0,0,0
2022-01-05,16,502,502. 뚝섬유원지역 1번출구 앞,4,1,5,2,108,서울,2022-01-05 16:00:00,1.8,0.0,1.3,36,0,0,1,0,0,0,0
2022-01-05,17,502,502. 뚝섬유원지역 1번출구 앞,9,1,5,2,108,서울,2022-01-05 17:00:00,1.4,0.0,1.2,38,0,0,1,0,0,0,0
2022-01-05,18,502,502. 뚝섬유원지역 1번출구 앞,12,1,5,2,108,서울,2022-01-05 18:00:00,0.7,0.0,2.0,42,0,0,1,0,0,0,0
2022-01-05,19,502,502. 뚝섬유원지역 1번출구 앞,5,1,5,2,108,서울,2022-01-05 19:00:00,0.1,0.0,1.3,42,0,0,1,0,0,0,0
2022-01-05,20,502,502. 뚝섬유원지역 1번출구 앞,6,1,5,2,108,서울,2022-01-05 20:00:00,-0.6,0.0,1.6,44,0,0,1,0,0,0,0
2022-01-05,21,502,502. 뚝섬유원지역 1번출구 앞,8,1,5,2,108,서울,2022-01-05 21:00:00,-1.0,0.0,2.0,46,0,0,1,0,0,0,0
2022-01-05,22,502,502. 뚝섬유원지역 1번출구 앞,10,1,5,2,108,서울,2022-01-05 22:00:00,-1.3,0.0,2.2,46,0,0,1,0,0,0,0
2022-01-05,23,502,502. 뚝섬유원지역 1번출구 앞,3,1,5,2,108,서울,2022-01-05 23:00:00,-1.9,0.0,1.2,48,0,0,1,0,0,0,0
2022-01-06,4,502,502. 뚝섬유원지역 1번출구 앞,2,1,6,3,108,서울,2022-01-06 04:00:00,-4.8,0.0,2.1,62,0,0,0,1,0,0,0
2022-01-06,5,502,502. 뚝섬유원지역 1번출구 앞,1,1,6,3,108,서울,2022-01-06 05:00:00,-4.6,0.0,2.8,62,0,0,0,1,0,0,0
2022-01-06,6,502,502. 뚝섬유원지역 1번출구 앞,2,1,6,3,108,서울,2022-01-06 06:00:00,-5.4,0.0,2.2,60,0,0,0,1,0,0,0
2022-01-06,7,502,502. 뚝섬유원지역 1번출구 앞,6,1,6,3,108,서울,2022-01-06 07:00:00,-5.5,0.0,1.5,60,0,0,0,1,0,0,0
2022-01-06,8,502,502. 뚝섬유원지역 1번출구 앞,7,1,6,3,108,서울,2022-01-06 08:00:00,-5.9,0.0,2.5,62,0,0,0,1,0,0,0
2022-01-06,9,502,502. 뚝섬유원지역 1번출구 앞,8,1,6,3,108,서울,2022-01-06 09:00:00,-5.1,0.0,2.3,62,0,0,0,1,0,0,0
2022-01-06,10,502,502. 뚝섬유원지역 1번출구 앞,7,1,6,3,108,서울,2022-01-06 10:00:00,-3.0,0.0,2.0,53,0,0,0,1,0,0,0
2022-01-06,11,502,502. 뚝섬유원지역 1번출구 앞,5,1,6,3,108,서울,2022-01-06 11:00:00,-1.1,0.0,2.7,41,0,0,0,1,0,0,0
2022-01-06,12,502,502. 뚝섬유원지역 1번출구 앞,4,1,6,3,108,서울,2022-01-06 12:00:00,0.3,0.0,3.4,35,0,0,0,1,0,0,0
2022-01-06,13,502,502. 뚝섬유원지역 1번출구 앞,6,1,6,3,108,서울,2022-01-06 13:00:00,1.7,0.0,4.2,33,0,0,0,1,0,0,0
2022-01-06,14,502,502. 뚝섬유원지역 1번출구 앞,4,1,6,3,108,서울,2022-01-06 14:00:00,2.8,0.0,4.2,31,0,0,0,1,0,0,0
2022-01-06,15,502,502. 뚝섬유원지역 1번출구 앞,12,1,6,3,108,서울,2022-01-06 15:00:00,2.8,0.0,2.6,31,0,0,0,1,0,0,0
2022-01-06,16,502,502. 뚝섬유원지역 1번출구 앞,2,1,6,3,108,서울,2022-01-06 16:00:00,3.1,0.0,1.6,31,0,0,0,1,0,0,0
2022-01-06,17,502,502. 뚝섬유원지역 1번출구 앞,9,1,6,3,108,서울,2022-01-06 17:00:00,2.0,0.0,2.2,33,0,0,0,1,0,0,0
2022-01-06,18,502,502. 뚝섬유원지역 1번출구 앞,12,1,6,3,108,서울,2022-01-06 18:00:00,0.7,0.0,2.2,35,0,0,0,1,0,0,0
2022-01-06,19,502,502. 뚝섬유원지역 1번출구 앞,11,1,6,3,108,서울,2022-01-06 19:00:00,0.0,0.0,3.2,37,0,0,0,1,0,0,0
